# perf report for bench-vcdiff (case01-encode)
# generated 2026-04-28T11:10:37+10:00
# toolchain: leanprover/lean4:v4.29.0-rc6
# uname: Linux geralt 6.8.0-110-generic #110-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 19 15:09:20 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux

## Top 30 (flat, self time)
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 93K of event 'cycles:P'
# Event count (approx.): 108049382694
#
# Overhead       Samples  Symbol                                                                                                                                                       IPC   [IPC Coverage]
# ........  ............  ...........................................................................................................................................................  ....................
#
    19.98%         18727  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_extendBackwardAux                                                                                              -      -            
    18.23%         17105  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_findBestMatchRec                                                                                               -      -            
    15.99%         15011  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_extendForwardAux                                                                                               -      -            
    10.00%          9418  [.] lean_dec_ref_cold                                                                                                                                        -      -            
     6.78%          6373  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00LeanBdiff_Vcdiff_Encoder_hashBytes_spec__0___redArg         -      -            
     2.75%          2591  [.] mi_free                                                                                                                                                  -      -            
     2.09%          1964  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_generateInstructionsLoop                                                                                       -      -            
     1.84%          1712  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00LeanBdiff_Vcdiff_Encoder_adler32_spec__0___redArg           -      -            
     1.77%          1669  [.] mi_malloc_small                                                                                                                                          -      -            
     1.44%          1371  [.] lean_copy_expand_array                                                                                                                                   -      -            
     1.38%          1306  [.] l_List_reverseAux___redArg                                                                                                                               -      -            
     1.13%          1058  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00LeanBdiff_Vcdiff_Encoder_buildSourceIndex_spec__0___redArg  -      -            
     1.04%           984  [.] lean_list_to_array                                                                                                                                       -      -            
     0.96%           905  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Varint_toBase128                                                                                                       -      -            
     0.88%           825  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_lazyBestMatch                                                                                                  -      -            
     0.87%           820  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_AddressCache_State_encodeAddress                                                                                       -      -            
     0.82%           772  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_encodeOneInst_x27                                                                                              -      -            
     0.77%           725  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Varint_setContinuationBits                                                                                             -      -            
     0.75%           710  [.] lean_byte_array_copy_slice                                                                                                                               -      -            
     0.73%           687  [.] lean_byte_array_push                                                                                                                                     -      -            
     0.72%           680  [.] l_List_lengthTR___redArg                                                                                                                                 -      -            
     0.67%           632  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_AddressCache_State_tryNearModes                                                                                        -      -            
     0.58%           543  [.] lean_inc_heartbeat                                                                                                                                       -      -            
     0.57%           538  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_AddressCache_State_trySameModes                                                                                        -      -            
     0.48%           453  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_countRun                                                                                                       -      -            
     0.43%           405  [.] mi_free_size                                                                                                                                             -      -            
     0.39%           372  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_encodeWindowLoop                                                                                               -      -            
     0.38%           361  [.] lean_array_push                                                                                                                                          -      -            
     0.38%           356  [.] lean_byte_array_mk                                                                                                                                       -      -            
