# perf report for bench-vcdiff (case01-encode)
# generated 2026-04-28T11:31:00+10:00
# toolchain: leanprover/lean4:v4.29.0-rc6
# uname: Linux geralt 6.8.0-110-generic #110-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 19 15:09:20 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux

## Top 30 (flat, self time)
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 86K of event 'cycles:P'
# Event count (approx.): 99651709649
#
# Overhead       Samples  Symbol                                                                                                                                                       IPC   [IPC Coverage]
# ........  ............  ...........................................................................................................................................................  ....................
#
    24.02%         20767  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_findBestMatchRec                                                                                               -      -            
    20.03%         17311  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_extendBackwardAux                                                                                              -      -            
    14.38%         12444  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_extendForwardAux                                                                                               -      -            
     8.69%          7545  [.] lean_dec_ref_cold                                                                                                                                        -      -            
     4.45%          3839  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_hashBytesAux                                                                                                   -      -            
     2.09%          1813  [.] mi_free                                                                                                                                                  -      -            
     1.98%          1690  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00LeanBdiff_Vcdiff_Encoder_adler32_spec__0___redArg           -      -            
     1.65%          1437  [.] lean_copy_expand_array                                                                                                                                   -      -            
     1.53%          1320  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_generateInstructionsLoop                                                                                       -      -            
     1.46%          1267  [.] l_List_reverseAux___redArg                                                                                                                               -      -            
     1.29%          1116  [.] mi_malloc_small                                                                                                                                          -      -            
     1.23%          1071  [.] lean_list_to_array                                                                                                                                       -      -            
     1.12%           975  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_AddressCache_State_encodeAddress                                                                                       -      -            
     1.02%           876  [.] lp_lean_x2dbdiff___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00LeanBdiff_Vcdiff_Encoder_buildSourceIndex_spec__0___redArg  -      -            
     0.95%           826  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_encodeOneInst_x27                                                                                              -      -            
     0.88%           764  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Varint_toBase128                                                                                                       -      -            
     0.85%           738  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Varint_setContinuationBits                                                                                             -      -            
     0.77%           670  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_AddressCache_State_tryNearModes                                                                                        -      -            
     0.76%           658  [.] lean_byte_array_copy_slice                                                                                                                               -      -            
     0.75%           648  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_lazyBestMatch                                                                                                  -      -            
     0.65%           565  [.] lean_byte_array_push                                                                                                                                     -      -            
     0.59%           513  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_countRun                                                                                                       -      -            
     0.57%           492  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_AddressCache_State_trySameModes                                                                                        -      -            
     0.51%           444  [.] lean_inc_heartbeat                                                                                                                                       -      -            
     0.45%           394  [.] lean_array_push                                                                                                                                          -      -            
     0.45%           393  [.] lp_lean_x2dbdiff_LeanBdiff_Vcdiff_Encoder_encodeWindowLoop                                                                                               -      -            
     0.41%           355  [.] mi_free_size                                                                                                                                             -      -            
     0.38%           331  [.] __memmove_avx_unaligned_erms                                                                                                                             -      -            
     0.38%           333  [.] l_List_lengthTR___redArg                                                                                                                                 -      -            
     0.36%           312  [.] lean_byte_array_mk                                                                                                                                       -      -            
